verb,following_noun,example_rank,canonical_semantic_text,current_public_path,historical_training_path,prompt_pair_expected_occurrences_per_training_sample,source_row_training_mixture_weight
perform,dissect,1,perform cold-cut dissect on ex-vivo tissue by cut along pre-defined trace use non-energy surigal instrument,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P1,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part1,0.003737069515207231,0.001890031108885623
perform,dissect,2,perform cold-cut dissect to partially peel skin from the underlying fat layer use non-energy instrument,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P2,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part2,0.0001587134786291763,0.0001587134786291763
perform,stitch,1,perform a simple interrupted stitch on ex-vivo tissue (occasionally on silicon suture training phantom); without cut the suture thread tail at the end,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P1,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part1,0.003820807914974772,0.0020882169816807154
cut,suture,1,perform a simple interrupted stitch on ex-vivo tissue (occasionally on silicon suture training phantom); without cut the suture thread tail at the end,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P1,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part1,0.003820807914974772,0.0020882169816807154
lift,plastic,1,lift the plastic phantom to expose the workspace,turin/mitic_lerobot_plastic_tube,Surgical/Turin/mitic_lerobot_plastic_tube,0.003761547747115501,0.0012902251635886904
transfer,needle,1,"use the left-hand to grasp the needle from the table, then transfer the needle to the right hand",hamlyn/needle_grasp_and_handover,Surgical/Hamlyn/needle_grasp_and_handover,0.0027402808589638075,0.0027402808589638075
transfer,needle,2,transfer the needle from right to left arm,turin/mitic_lerobot_plastic_pad,Surgical/Turin/mitic_lerobot_plastic_pad,0.0005109837640151448,0.0005109837640151448
transfer,needle,3,transfer the needle from left to right arm,turin/mitic_lerobot_plastic_pad,Surgical/Turin/mitic_lerobot_plastic_pad,0.00041854697791579614,0.00041854697791579614
resect,home,1,resect home out,jhu/imerse/cao_cautery_combined,Surgical/JHU/cao_cautery_combined,0.003239007167265421,0.003239007167265421
move,orange,1,move the orange triangular peg to right,hamlyn/peg_transfer,Surgical/Hamlyn/peg_transfer,0.0017125538214937408,0.0017125538214937408
move,orange,2,move the orange cylinder peg to right,hamlyn/peg_transfer,Surgical/Hamlyn/peg_transfer,0.0014277773331575264,0.0014277773331575264
move,peg,1,move the black triangular peg to right,hamlyn/peg_transfer,Surgical/Hamlyn/peg_transfer,0.0016193011313363006,0.0016193011313363006
move,peg,2,move the white triangular peg to right,hamlyn/peg_transfer,Surgical/Hamlyn/peg_transfer,0.001415867953450673,0.001415867953450673
create,hole,1,hemicolectomy. create the first penetrating hole inside the colon for anastomosis,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,0.001588174004646651,0.0008963154997458795
create,hole,2,hemicolectomy. create the second penetrating hole inside the colon for anastomosis,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,0.001161285773651371,0.00035708826059394663
create,hole,3,hemicolectomy. create the first penetrating hole inside the colon for anastomosis. create the second penetrating hole inside the colon for anastomosis,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,5.99141376835481e-07,1.4978534420887024e-07
tie,knot,1,tie a surgical knot in the suture,hamlyn/knot_tying,Surgical/Hamlyn/knot_tying,0.002263680965412169,0.002263680965412169
move,cylinder,1,move the green cylinder peg to right,hamlyn/peg_transfer,Surgical/Hamlyn/peg_transfer,0.0014784858241106084,0.0014784858241106084
keep,position,1,close down on the small intestine for hold. keep position await surgeon's counterpart grasp,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,0.0011296913491505942,0.0011296913491505942
keep,position,2,close down on the colon for hold. keep position await surgeon's counterpart grasp,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,8.481301281592207e-05,8.481301281592207e-05
keep,position,3,close down on the gallbladder for hold. keep position await surgeon's counterpart grasp,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,6.203637333178751e-05,6.203637333178751e-05
retract,tissue,1,retract the partially dissect tissue flap use the right instrument (center grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,0.0001893516471630588,0.0001893516471630588
retract,tissue,2,retract the partially dissect tissue flap use the left instrument (center grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,0.00017684305338290423,0.00017684305338290423
retract,tissue,3,retract the partially dissect tissue flap use the left instrument (left-side grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,0.00013931727204244044,0.00013931727204244044
use,instrument,1,retract the partially dissect tissue flap use the right instrument (center grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,0.0001893516471630588,0.0001893516471630588
use,instrument,2,retract the partially dissect tissue flap use the right instrument (right-side grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,0.0001160977267020337,0.0001160977267020337
use,instrument,3,retract the partially dissect tissue flap use the right instrument (left-side grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,7.115667120447226e-05,7.115667120447226e-05
remove,cap,1,remove cap,jhu/imerse/nephfat/nephfat,Surgical/JHU/Imerse/NephFat_extracted/nephfat,0.0006049709976439199,0.0006049709976439199
straight,camera,1,"pull back on small intestine post-surgeon's end grasp, continue till fully straight in camera",tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,0.00043845031006958996,0.00043845031006958996
straight,camera,2,"pull back on gallbladder post-surgeon's end grasp, continue till fully straight in camera",tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,9.545210099601122e-05,9.545210099601122e-05
straight,camera,3,"pull back on omentum post-surgeon's end grasp, continue till fully straight in camera",tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,2.0004482704815535e-05,2.0004482704815535e-05
open,gripper,1,approach the small intestine grasp by the surgeon and open your gripper to receive and take over the hold,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,0.0003649506938395374,0.0003649506938395374
open,gripper,2,approach the gallbladder grasp by the surgeon and open your gripper to receive and take over the hold,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,5.8889600771479444e-05,5.8889600771479444e-05
open,gripper,3,approach the colon grasp by the surgeon and open your gripper to receive and take over the hold,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,4.750128102941218e-05,4.750128102941218e-05
take,hold,1,approach the small intestine grasp by the surgeon and open your gripper to receive and take over the hold,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,0.0003649506938395374,0.0003649506938395374
take,hold,2,approach the gallbladder grasp by the surgeon and open your gripper to receive and take over the hold,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,5.8889600771479444e-05,5.8889600771479444e-05
take,hold,3,approach the colon grasp by the surgeon and open your gripper to receive and take over the hold,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,4.750128102941218e-05,4.750128102941218e-05
peel,skin,1,perform cold-cut dissect to partially peel skin from the underlying fat layer use non-energy instrument,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P2,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part2,0.0001587134786291763,0.0001587134786291763
correct,movement,1,correct the previous movement or position of the grasper,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,0.00010474257236453978,0.00010474257236453978
grasp,tissue,1,re-orient and grasp the intact tissue block at the center use the right instrument,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,1.820112747651238e-05,1.820112747651238e-05
grasp,tissue,2,re-orient and grasp the intact tissue block at the right region use the right instrument,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,1.4006628963406644e-05,1.4006628963406644e-05
stop,movement,1,stop the grasper movement and stay,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,1.5883709113935933e-05,1.5883709113935933e-05
