language,normalized_training_mixture_weight,training_mixture_weight_before_coverage_normalization,training_mixture_percent_before_coverage_normalization,raw_public_count,num_training_entries,groups,entry_ids,represented_training_mixture_weight,weight_semantics
flap grasp,0.0156614856283024,0.015083498202328105,1.5083498202328105,219846,1,jhu_imerse_dvrk,jhu_imerse_dvrk:11,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
NeedleThreading,0.015365403908007922,0.014798343383571104,1.4798343383571104,205288,2,obuda_dvrk,obuda_dvrk:01 | obuda_dvrk:05,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
dissection,0.01481997050093319,0.01427303920679275,1.427303920679275,197948,1,ucsd_dvrk,ucsd_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
clipping first clip left tube,0.013101532360774005,0.0126180200589884,1.26180200589884,183911,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
clipping third clip left tube,0.013013339174598963,0.012533081644032102,1.2533081644032102,182673,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Position the needle for suturing,0.01267575378491736,0.012207954849598704,1.2207954849598703,179295,4,turin_mitic_ex_vivo,turin_mitic_ex_vivo:00 | turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
scissors placing,0.012574225443110303,0.012110173413183462,1.211017341318346,176509,1,jhu_imerse_dvrk,jhu_imerse_dvrk:11,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Dissection,0.012386302322203923,0.011929185598640193,1.1929185598640193,165486,1,obuda_dvrk,obuda_dvrk:07,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
clipping second clip left tube,0.012384232529112854,0.011927192191302647,1.1927192191302647,173842,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
go to the cutting position left tube,0.011896747898260016,0.011457698190053904,1.1457698190053904,166999,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Suturing,0.011812338992984289,0.011376404397038119,1.137640439703812,157783,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
dissect,0.011360607414291223,0.010941343980876931,1.0941343980876932,159473,1,jhu_imerse_dvrk,jhu_imerse_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
clipping first clip right tube,0.009913113593701006,0.009547269947357535,0.9547269947357535,139154,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Rollercoaster,0.009750304139980789,0.00939046897963369,0.9390468979633689,130268,1,obuda_dvrk,obuda_dvrk:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
clipping second clip right tube,0.009566894785291713,0.00921382835067934,0.9213828350679341,134294,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
clipping third clip right tube,0.009545665730784312,0.00919338275483364,0.919338275483364,133996,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
go to the cutting position right tube,0.008994280221095436,0.008662346137901698,0.8662346137901699,126256,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Extract the needle from the plastic phantom,0.008943831449969743,0.008613759179637094,0.8613759179637094,126508,3,turin_mitic_ex_vivo,turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
suture throw,0.008772913629169939,0.008449149084275461,0.8449149084275461,216140,1,jhu_imerse_star_il,jhu_imerse_star_il:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: bi_maryland_forceps. aux tool: forceps. The surgery process is a hemicolectomy.Suturing,0.007818095492146487,0.007529568528819269,0.7529568528819269,104430,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
grabbing gallbladder,0.007765132212804498,0.0074785598603120725,0.7478559860312073,109002,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Drive needle from right edge through both layers to left side.,0.007492370828012178,0.007215864739630508,0.7215864739630508,100067,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Finish the knot tying on the plastic phantom,0.007255286295899823,0.006987529816699948,0.6987529816699948,102624,2,turin_mitic_ex_vivo,turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Finish the knot tying on ex vivo tissue,0.007035981863312112,0.006776318818381784,0.6776318818381785,99522,1,turin_mitic_ex_vivo,turin_mitic_ex_vivo:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
retraction,0.006787233241723075,0.0065367502694192595,0.6536750269419259,90656,1,ucsd_dvrk,ucsd_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy InVivo 2.Suturing,0.006749704792458444,0.0065006068082908795,0.650060680829088,90159,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Insert the needle into the plastic phantom,0.0066484874742040396,0.006403124917098144,0.6403124917098144,94041,3,turin_mitic_ex_vivo,turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
cut,0.006388734353282695,0.006152957990061165,0.6152957990061164,89681,1,jhu_imerse_dvrk,jhu_imerse_dvrk:11,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Suturing,0.006329000349038102,0.006095428470383098,0.6095428470383097,84558,1,obuda_dvrk,obuda_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
PegTransfer,0.005848625644809922,0.005632782003781255,0.5632782003781255,78140,1,obuda_dvrk,obuda_dvrk:06,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,0.005758284773177248,0.005545775163740123,0.5545775163740123,3052601,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Insert the needle into the tissue,0.005758261357136194,0.005545752611868511,0.5545752611868511,81449,1,turin_mitic_ex_vivo,turin_mitic_ex_vivo:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
going back first clip left tube,0.005712325385001573,0.005501511907662096,0.5501511907662097,80186,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
going back second clip left tube,0.005623989721950643,0.005416436273941734,0.5416436273941734,78946,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
going back third clip left tube,0.005538503596417483,0.005334105015502673,0.5334105015502674,77746,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Perform base knot tying on ex vivo tissue,0.005415306552983071,0.005215454561307127,0.5215454561307127,76598,1,turin_mitic_ex_vivo,turin_mitic_ex_vivo:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Perform base knot tying on the plastic phantom,0.00504470892705632,0.004858533847837168,0.48585338478371676,71356,2,turin_mitic_ex_vivo,turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
go back from the cut left tube,0.004905336359968552,0.004724304827997364,0.4724304827997364,68858,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
going back second clip right tube,0.004279079252000218,0.004121159750549212,0.41211597505492126,60067,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Knot tying,0.0042304110755650975,0.0040742876740941444,0.40742876740941447,56520,1,obuda_dvrk,obuda_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
pick up the needle and hand it to the other arm,0.004153557124342363,0.004000270019407858,0.40002700194078583,58305,1,jhu_imerse_dvrk,jhu_imerse_dvrk:05,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
going back third clip right tube,0.003982727350151934,0.003835744721293802,0.3835744721293802,55907,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
going back first clip right tube,0.003912343773462966,0.003767958651845642,0.3767958651845642,54919,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.SuturingPause in the surgery,0.0038854654413712796,0.0037420722651127078,0.37420722651127075,51900,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Extract the needle from the tissue,0.003829697328586817,0.003688362275594756,0.3688362275594756,54170,1,turin_mitic_ex_vivo,turin_mitic_ex_vivo:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
perform a simple interrupted stitch on ex-vivo tissue (occasionally on silicon suturing training phantom) ; without cutting the suture thread tail at the end,0.0038193685827814195,0.003678414712350406,0.36784147123504063,51012,3,jhu_lscr_dvrk_smarts,jhu_lscr_dvrk_smarts:00 | jhu_lscr_dvrk_smarts:01 | jhu_lscr_dvrk_smarts:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Lift the plastic phantom to expose the workspace,0.003760130738752417,0.0036213630420857054,0.36213630420857057,53186,3,turin_mitic_ex_vivo,turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
perform cold-cut dissection on ex-vivo tissue by cutting along pre-defined traces using non-energy surigal instruments,0.0037356617280109804,0.0035977970606526142,0.35977970606526144,49894,3,jhu_lscr_dvrk_smarts,jhu_lscr_dvrk_smarts:00 | jhu_lscr_dvrk_smarts:01 | jhu_lscr_dvrk_smarts:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Resect the lymphatic tissue around the mesenteric artery and vein,0.0037215122753480982,0.003584169793810264,0.3584169793810264,49710,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
go back from the cut right tube,0.003678539220129776,0.0035427826600148114,0.35427826600148116,51637,1,jhu_imerse_dvrk,jhu_imerse_dvrk:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
resect home out,0.0032377870045683975,0.0031182964133794214,0.31182964133794216,45450,1,jhu_imerse_dvrk,jhu_imerse_dvrk:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: bi_maryland_forceps. aux tool: forceps. The surgery process is a hemicolectomy 2025-10-10_01.Suturing,0.00286401475770905,0.0027583182384229624,0.27583182384229626,38256,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
"Use the left-hand to grasp the needle from the table, then transfer the needle to the right hand.",0.002739248570885761,0.00263815655010525,0.263815655010525,36585,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,0.002725350810116632,0.0026247716864625107,0.2624771686462511,1444772,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: bi_maryland_forceps. right tool: bi_maryland_forceps. aux tool: mono_round_scissors. The surgery process is a hysterectomy.Pelvic lymphadenectomy,0.0026275927950144347,0.002530621432773137,0.2530621432773137,35098,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Orange). arm right: 3. right instrument: Tool #9 (Blue). do a prostatectomy,0.002595267868402892,0.0024994894581950367,0.24994894581950367,1375812,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy 2025-10-10_01.Resect the lymphatic tissue around the mesenteric artery and vein,0.0023648934070804885,0.002277616970763879,0.2277616970763879,31589,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: bi_maryland_forceps. right tool: forceps. aux tool: forceps. The surgery process is a hysterectomy.Suturing the uterus stump,0.0022912267790591136,0.0022066690110553837,0.22066690110553838,30605,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Tie a surgical knot in the suture.,0.0022628282167366266,0.0021793184982173263,0.21793184982173264,30222,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:04,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,0.0022536360336443332,0.0021704655528174644,0.21704655528174643,1194705,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #18 (Blue). arm right: 1. right instrument: Tool #9 (Orange). do a prostatectomy,0.0022388168400523504,0.0021561932618477824,0.21561932618477825,1186849,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,0.0020148708313906124,0.001940511984909177,0.1940511984909177,1068130,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Lift the tissue flap to expose the workspace,0.0020100078410384306,0.0019358284633087409,0.19358284633087408,28431,1,turin_mitic_ex_vivo,turin_mitic_ex_vivo:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Retraction,0.0019700016357379465,0.0018972986877782937,0.18972986877782938,26313,1,ucsd_dvrk,ucsd_dvrk:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
lift the tissue,0.001958130943774951,0.0018858660839287161,0.1885866083928716,27487,1,jhu_imerse_dvrk,jhu_imerse_dvrk:07,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,0.0019312299144012383,0.0018599578375573817,0.18599578375573816,1023790,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Orange). arm right: 3. right instrument: Tool #9 (Green). do a prostatectomy,0.0019134981909077766,0.0018428805036578135,0.18428805036578136,1014390,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Green). arm right: 3. right instrument: Tool #9 (Orange). do a prostatectomy,0.0018173507497948225,0.0017502813856938755,0.17502813856938754,963420,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: bi_maryland_forceps. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Preparing the colon part for anastomosis,0.0017946508200491777,0.0017284191972886673,0.17284191972886673,23972,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #8 (Pink). do a cholecystectomy,0.001723287729369132,0.0016596897628319617,0.16596897628319618,913555,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #18 (Green). arm right: 1. right instrument: Tool #9 (Blue). do a prostatectomy,0.00172175789662943,0.0016582163885987117,0.16582163885987117,912744,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Move the orange triangular peg to right.,0.0017119086872962156,0.0016487306645238881,0.1648730664523888,22864,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,0.0016677383896419537,0.0016061904725474406,0.16061904725474405,884107,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,0.0016597836366662167,0.0015985292898820704,0.15985292898820705,879890,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Move the black triangular peg to right.,0.0016186911262533626,0.0015589532993501545,0.15589532993501545,21619,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy InVivo 2.Identify the inferior mesenteric artery and vein,0.0016080885872958592,0.0015487420472952017,0.15487420472952018,21480,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Green). arm right: 3. right instrument: Tool #9 (Blue). do a prostatectomy,0.0015419242660415868,0.0014850195215794053,0.14850195215794054,817410,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
grasp,0.0015350458608237585,0.0014783949640373986,0.14783949640373986,21548,1,jhu_imerse_dvrk,jhu_imerse_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #13 (Blue). arm right: 3. right instrument: Tool #8 (Pink). do a cholecystectomy,0.0015061175027061722,0.00145053420752817,0.14505342075281702,798428,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Cyan). arm right: 1. right instrument: Tool #9 (Orange). do an inguinal hernia repair,0.0014969611425107185,0.0014417157629804567,0.14417157629804567,793574,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Move the green cylinder peg to right.,0.0014779288654015047,0.0014233858724211437,0.14233858724211437,19739,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Move the orange cylinder peg to right.,0.0014272394767862343,0.001374567176660005,0.13745671766600048,19062,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #18 (Blue). arm right: 1. right instrument: Tool #9 (Orange). do a prostatectomy,0.001427186810563945,0.0013745164540856542,0.13745164540856541,756585,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Move the white triangular peg to right.,0.0014153345834482316,0.0013631016336378176,0.13631016336378177,18903,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Orange). do an inguinal hernia repair,0.0013691173024764193,0.0013185900023022156,0.13185900023022157,725801,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Artery coagulation,0.0013361808708592408,0.0012868690903223817,0.12868690903223817,17848,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,0.0012864591756934385,0.0012389823752654923,0.12389823752654923,681982,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Blue). arm right: 3. right instrument: Tool #9 (Green). do a prostatectomy,0.0012707383050982774,0.0012238416836996406,0.12238416836996406,673648,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Grasp the needle from the plastic phantom,0.0012380590662398436,0.001192368472774882,0.1192368472774882,17512,1,turin_mitic_ex_vivo,turin_mitic_ex_vivo:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: none. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.,0.0012262049800427783,0.001180951861855126,0.11809518618551261,16379,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Cyan). arm right: 2. right instrument: Tool #9 (Orange). do an inguinal hernia repair,0.0011795236785529196,0.001135993334687551,0.1135993334687551,625293,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
