language,num_training_entries_containing_string,entry_ids
Move the white triangular peg to right.,1,hamlyn_dvrk_30hz:01
Needle Transfer,1,stanford_dvrk_real:00
NeedleInsertion,1,obuda_dvrk:10
NeedleThreading,2,obuda_dvrk:01 | obuda_dvrk:05
Peg Transfer,2,obuda_dvrk:02 | stanford_dvrk_real:02
PegTransfer,1,obuda_dvrk:06
Perform base knot tying on ex vivo tissue,1,turin_mitic_ex_vivo:00
Perform base knot tying on the plastic phantom,2,turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03
Position the needle for suturing,4,turin_mitic_ex_vivo:00 | turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03
"Pull back on colon post-surgeon's end grasp, continuing till fully straight in camera.",1,tud_tundra_ur5e:00
"Pull back on gallbladder post-surgeon's end grasp, continuing till fully straight in camera.",1,tud_tundra_ur5e:00
"Pull back on omentum post-surgeon's end grasp, continuing till fully straight in camera.",1,tud_tundra_ur5e:00
"Pull back on small intestine post-surgeon's end grasp, continuing till fully straight in camera.",1,tud_tundra_ur5e:00
"Pull back on stomach post-surgeon's end grasp, continuing till fully straight in camera.",1,tud_tundra_ur5e:00
Re-orient and grasp the intact tissue block at the center using the right instrument.,1,hamlyn_dvrk_30hz:05
Re-orient and grasp the intact tissue block at the right region using the right instrument.,1,hamlyn_dvrk_30hz:05
Remain positioned until the surgeon picks up the colon and positions it for your robotic grasp.,1,tud_tundra_ur5e:00
Remain positioned until the surgeon picks up the gallbladder and positions it for your robotic grasp.,1,tud_tundra_ur5e:00
Remain positioned until the surgeon picks up the omentum and positions it for your robotic grasp.,1,tud_tundra_ur5e:00
Remain positioned until the surgeon picks up the small intestine and positions it for your robotic grasp.,1,tud_tundra_ur5e:00
Remain positioned until the surgeon picks up the stomach and positions it for your robotic grasp.,1,tud_tundra_ur5e:00
Retract the partially dissected tissue flap from the left side using the right instrument.,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap from the right side using the right instrument.,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap using the left instrument (center grasp).,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap using the left instrument (left-side grasp).,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap using the left instrument (right-side grasp).,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap using the right instrument (center grasp).,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap using the right instrument (left-side grasp).,1,hamlyn_dvrk_30hz:05
Retract the partially dissected tissue flap using the right instrument (right-side grasp).,1,hamlyn_dvrk_30hz:05
Retraction,1,ucsd_dvrk:01
Rollercoaster,1,obuda_dvrk:03
Seaspike,3,obuda_dvrk:04 | obuda_dvrk:08 | obuda_dvrk:09
SingleKnot,1,obuda_dvrk:10
Stay stationary with secure grip,1,tud_tundra_ur5e:00
Stop the grasper movement and stay,1,tud_tundra_ur5e:00
SuturePulling,1,obuda_dvrk:10
Suturing,1,obuda_dvrk:00
Tie a surgical knot in the suture.,1,hamlyn_dvrk_30hz:04
Tissue Retraction,1,stanford_dvrk_real:01
Transfer the needle from left to right arms,1,turin_mitic_ex_vivo:01
Transfer the needle from right to left arms,1,turin_mitic_ex_vivo:01
"Use the left-hand to grasp the needle from the table, then transfer the needle to the right hand.",1,hamlyn_dvrk_30hz:03
Using the right hand instrument to grasp the needle from the table.,1,hamlyn_dvrk_30hz:03
Wound Closure,1,jhu_imerse_dvrk:09
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #14 (White). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #14 (White). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #17 (White). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #17 (White). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Pink). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #0 (Purple). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #10 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #10 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #12 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #12 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #13 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #13 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #13 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #18 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #18 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #18 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #18 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #18 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #18 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Cyan). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Pink). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Pink). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #8 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Cyan). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Cyan). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Pink). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Purple). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Purple). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #0 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #10 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #10 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #10 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #12 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #13 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #13 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #13 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #13 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #18 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #18 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #18 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #18 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #2 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Pink). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Purple). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Purple). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Cyan). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #0 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #0 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #0 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #0 (Pink). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #13 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #18 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Cyan). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Green). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #2 (Orange). do a prostatectomy,1,cmr_versius:03
