semantic_alphabetic_token_length,length_training_mixture_weight,canonical_prompt_training_mixture_weight,example_rank,current_public_path,historical_training_path,mechanism,semantic_surface_text,semantic_text,vlm_formalized_text,original_text,semantic_analysis_weight,vlm_alphabetic_token_length
9,0.00010489235770874865,0.00010474257236453978,1,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Correct the previous movement or position of the grasper.,correct the previous movement or position of the grasper,correct the previous movement or position of the grasper,Correct the previous movement or position of the grasper.,0.00010474257236453978,9
9,0.00010489235770874865,7.489267210443512e-08,2,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hysterectomy. Urinary bladder mobilization. Identification of uterus and ovaries,hysterectomy. urinary bladder mobilization. identification of uterus and ovary,left tool none right tool none aux tool none the surgery process is a hysterectomyurinary bladder mobilizationidentification of uterus and ovaries,left tool: none. right tool: none. aux tool: none. The surgery process is a hysterectomy.Urinary bladder mobilizationIdentification of uterus and ovaries,7.489267210443512e-08,21
9,0.00010489235770874865,7.489267210443512e-08,3,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hysterectomy. Dissection of the vesicouterine fold. Uterus neck dissection,hysterectomy. dissect of the vesicouterine fold. uterus neck dissect,left tool bi_maryland_forceps right tool bi_maryland_forceps aux tool mono_round_scissors the surgery process is a hysterectomydissection of the vesicouterine folduterus neck dissection,left tool: bi_maryland_forceps. right tool: bi_maryland_forceps. aux tool: mono_round_scissors. The surgery process is a hysterectomy.Dissection of the vesicouterine foldUterus neck dissection,7.489267210443512e-08,18
10,0.018952541878996317,0.018826931674315924,1,hamlyn/suturing_2,Surgical/Hamlyn/Suturing-2,TASK_INDEX,"Make first right-to-left suture, shift needle holder, create second parallel suture.","make first right-to-left suture, shift needle holder, create second parallel suture",make first righttoleft suture shift needle holder create second parallel suture,"Make first right-to-left suture, shift needle holder, create second parallel suture.",0.018826931674315924,11
10,0.018952541878996317,4.246929744519555e-05,2,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,TASK_INDEX,Lift the intact tissue block using the right instrument (right-side grasp).,lift the intact tissue block use the right instrument (right-side grasp),lift the intact tissue block using the right instrument rightside grasp,Lift the intact tissue block using the right instrument (right-side grasp).,4.246929744519555e-05,11
10,0.018952541878996317,4.149557457608172e-05,3,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,TASK_INDEX,Lift the intact tissue block using the right instrument (left-side grasp).,lift the intact tissue block use the right instrument (left-side grasp),lift the intact tissue block using the right instrument leftside grasp,Lift the intact tissue block using the right instrument (left-side grasp).,4.149557457608172e-05,11
11,0.02577468716735297,0.007495194334124133,1,hamlyn/suturing_1,Surgical/Hamlyn/Suturing-1,TASK_INDEX,Drive needle from right edge through both layers to left side.,drive needle from right edge through both layer to left side,drive needle from right edge through both layers to left side,Drive needle from right edge through both layers to left side.,0.007495194334124133,11
11,0.02577468716735297,0.007128733886932761,2,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Resect the lymphatic tissue around the mesenteric artery and vein,hemicolectomy. resect the lymphatic tissue around the mesenteric artery and vein,left tool mono_hook right tool forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomyresect the lymphatic tissue around the mesenteric artery and vein,left tool: mono_hook. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Resect the lymphatic tissue around the mesenteric artery and vein,0.003722914730311469,22
11,0.02577468716735297,0.004155122395762604,3,jhu/imerse/srt_needle_pickup_handover,Surgical/JHU/srt_needle_pickup+handover,TASK_INDEX,pick up the needle and hand it to the other arm,pick up the needle and hand it to the other arm,pick up the needle and hand it to the other arm,pick up the needle and hand it to the other arm,0.004155122395762604,11
12,0.001263560175150665,0.0007487928863485359,1,hamlyn/needle_grasp_and_handover,Surgical/Hamlyn/needle_grasp_and_handover,TASK_INDEX,Using the right hand instrument to grasp the needle from the table.,use the right hand instrument to grasp the needle from the table,using the right hand instrument to grasp the needle from the table,Using the right hand instrument to grasp the needle from the table.,0.0007487928863485359,12
12,0.001263560175150665,0.0001893516471630588,2,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,TASK_INDEX,Retract the partially dissected tissue flap using the right instrument (center grasp).,retract the partially dissect tissue flap use the right instrument (center grasp),retract the partially dissected tissue flap using the right instrument center grasp,Retract the partially dissected tissue flap using the right instrument (center grasp).,0.0001893516471630588,12
12,0.001263560175150665,0.00017684305338290423,3,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,TASK_INDEX,Retract the partially dissected tissue flap using the left instrument (center grasp).,retract the partially dissect tissue flap use the left instrument (center grasp),retract the partially dissected tissue flap using the left instrument center grasp,Retract the partially dissected tissue flap using the left instrument (center grasp).,0.00017684305338290423,12
13,0.003412243529520771,0.0025834976169145938,1,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Dissection and staple of the mesocolon while separating it from the retroperitoneum,hemicolectomy. dissect and staple of the mesocolon while separate it from the retroperitoneum,left tool mono_hook right tool forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomydissection and staple of the mesocolon while separating it from the retroperitoneum,left tool: mono_hook. right tool: forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Dissection and staple of the mesocolon while separating it from the retroperitoneum,0.0010711898891097354,24
13,0.003412243529520771,0.00043845031006958996,2,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,"Pull back on small intestine post-surgeon's end grasp, continuing till fully straight in camera.","pull back on small intestine post-surgeon's end grasp, continue till fully straight in camera",pull back on small intestine postsurgeons end grasp continuing till fully straight in camera,"Pull back on small intestine post-surgeon's end grasp, continuing till fully straight in camera.",0.00043845031006958996,14
13,0.003412243529520771,0.0001587134786291763,3,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P2,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part2,TASK_INDEX,perform cold-cut dissection to partially peel skin from the underlying fat layer using non-energy instruments,perform cold-cut dissect to partially peel skin from the underlying fat layer use non-energy instrument,perform coldcut dissection to partially peel skin from the underlying fat layer using nonenergy instruments,perform cold-cut dissection to partially peel skin from the underlying fat layer using non-energy instruments,0.0001587134786291763,15
14,0.001171561432522489,0.0011296913491505942,1,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Close down on the small intestine for hold. Keep position awaiting surgeon's counterpart grasp.,close down on the small intestine for hold. keep position await surgeon's counterpart grasp,close down on the small intestine for hold keep position awaiting surgeons counterpart grasp,Close down on the small intestine for hold. Keep position awaiting surgeon's counterpart grasp.,0.0011296913491505942,14
14,0.001171561432522489,1.5205057110008282e-05,2,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,TASK_INDEX,Retract the partially dissected tissue flap from the left side using the right instrument.,retract the partially dissect tissue flap from the left side use the right instrument,retract the partially dissected tissue flap from the left side using the right instrument,Retract the partially dissected tissue flap from the left side using the right instrument.,1.5205057110008282e-05,14
14,0.001171561432522489,1.4006628963406644e-05,3,hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,TASK_INDEX,Re-orient and grasp the intact tissue block at the right region using the right instrument.,re-orient and grasp the intact tissue block at the right region use the right instrument,reorient and grasp the intact tissue block at the right region using the right instrument,Re-orient and grasp the intact tissue block at the right region using the right instrument.,1.4006628963406644e-05,15
15,2.995706884177405e-07,2.995706884177405e-07,1,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Create the second penetrating hole inside the colon for anastomosis. Lateral to lateral approximation,hemicolectomy. create the second penetrating hole inside the colon for anastomosis. lateral to lateral approximation,left tool mono_hook right tool bi_maryland_forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomycreate the second penetrating hole inside the colon for anastomosislateral to lateral approximation,left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Create the second penetrating hole inside the colon for anastomosisLateral to lateral approximation,1.4978534420887024e-07,24
16,0.0001361353748114226,4.682697262363188e-05,1,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Remain positioned until the surgeon picks up the colon and positions it for your robotic grasp.,remain position until the surgeon pick up the colon and position it for your robotic grasp,remain positioned until the surgeon picks up the colon and positions it for your robotic grasp,Remain positioned until the surgeon picks up the colon and positions it for your robotic grasp.,4.682697262363188e-05,16
16,0.0001361353748114226,4.3230661126136954e-05,2,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Remain positioned until the surgeon picks up the gallbladder and positions it for your robotic grasp.,remain position until the surgeon pick up the gallbladder and position it for your robotic grasp,remain positioned until the surgeon picks up the gallbladder and positions it for your robotic grasp,Remain positioned until the surgeon picks up the gallbladder and positions it for your robotic grasp.,4.3230661126136954e-05,16
16,0.0001361353748114226,2.3975409983299524e-05,3,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Remain positioned until the surgeon picks up the stomach and positions it for your robotic grasp.,remain position until the surgeon pick up the stomach and position it for your robotic grasp,remain positioned until the surgeon picks up the stomach and positions it for your robotic grasp,Remain positioned until the surgeon picks up the stomach and positions it for your robotic grasp.,2.3975409983299524e-05,16
17,0.0032645180609435177,0.0027402808589638075,1,hamlyn/needle_grasp_and_handover,Surgical/Hamlyn/needle_grasp_and_handover,TASK_INDEX,"Use the left-hand to grasp the needle from the table, then transfer the needle to the right hand.","use the left-hand to grasp the needle from the table, then transfer the needle to the right hand",use the lefthand to grasp the needle from the table then transfer the needle to the right hand,"Use the left-hand to grasp the needle from the table, then transfer the needle to the right hand.",0.0027402808589638075,18
17,0.0032645180609435177,0.0005239376312912924,2,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Remain positioned until the surgeon picks up the small intestine and positions it for your robotic grasp.,remain position until the surgeon pick up the small intestine and position it for your robotic grasp,remain positioned until the surgeon picks up the small intestine and positions it for your robotic grasp,Remain positioned until the surgeon picks up the small intestine and positions it for your robotic grasp.,0.0005239376312912924,17
17,0.0032645180609435177,2.995706884177405e-07,3,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Preparing the colon part for anastomosis. Create the first penetrating hole inside the colon for anastomosis,hemicolectomy. prepare the colon part for anastomosis. create the first penetrating hole inside the colon for anastomosis,left tool mono_hook right tool bi_maryland_forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomypreparing the colon part for anastomosiscreate the first penetrating hole inside the colon for anastomosis,left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Preparing the colon part for anastomosisCreate the first penetrating hole inside the colon for anastomosis,1.4978534420887024e-07,26
18,0.00013928214737173066,5.8889600771479444e-05,1,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Approach the gallbladder grasped by the surgeon and open your gripper to receive and take over the hold.,approach the gallbladder grasp by the surgeon and open your gripper to receive and take over the hold,approach the gallbladder grasped by the surgeon  and open your gripper to receive and take over the hold,Approach the gallbladder grasped by the surgeon  and open your gripper to receive and take over the hold.,5.8889600771479444e-05,18
18,0.00013928214737173066,4.750128102941218e-05,2,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Approach the colon grasped by the surgeon and open your gripper to receive and take over the hold.,approach the colon grasp by the surgeon and open your gripper to receive and take over the hold,approach the colon grasped by the surgeon  and open your gripper to receive and take over the hold,Approach the colon grasped by the surgeon  and open your gripper to receive and take over the hold.,4.750128102941218e-05,18
18,0.00013928214737173066,2.1877561609760813e-05,3,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Approach the stomach grasped by the surgeon and open your gripper to receive and take over the hold.,approach the stomach grasp by the surgeon and open your gripper to receive and take over the hold,approach the stomach grasped by the surgeon  and open your gripper to receive and take over the hold,Approach the stomach grasped by the surgeon  and open your gripper to receive and take over the hold.,2.1877561609760813e-05,18
19,0.00036525026452795517,0.0003649506938395374,1,tud/260131_tundra_dataset/grasping_retraction,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,TASK_INDEX,Approach the small intestine grasped by the surgeon and open your gripper to receive and take over the hold.,approach the small intestine grasp by the surgeon and open your gripper to receive and take over the hold,approach the small intestine grasped by the surgeon  and open your gripper to receive and take over the hold,Approach the small intestine grasped by the surgeon  and open your gripper to receive and take over the hold.,0.0003649506938395374,19
19,0.00036525026452795517,2.995706884177405e-07,2,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Dissection and staple of the mesocolon while separating it from the retroperitoneum. Preparing the colon part for anastomosis,hemicolectomy. dissect and staple of the mesocolon while separate it from the retroperitoneum. prepare the colon part for anastomosis,left tool mono_hook right tool bi_maryland_forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomydissection and staple of the mesocolon while separating it from the retroperitoneumpreparing the colon part for anastomosis,left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Dissection and staple of the mesocolon while separating it from the retroperitoneumPreparing the colon part for anastomosis,1.4978534420887024e-07,28
21,2.995706884177405e-07,2.995706884177405e-07,1,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Create the first penetrating hole inside the colon for anastomosis. Create the second penetrating hole inside the colon for anastomosis,hemicolectomy. create the first penetrating hole inside the colon for anastomosis. create the second penetrating hole inside the colon for anastomosis,left tool mono_hook right tool bi_maryland_forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomycreate the first penetrating hole inside the colon for anastomosiscreate the second penetrating hole inside the colon for anastomosis,left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Create the first penetrating hole inside the colon for anastomosisCreate the second penetrating hole inside the colon for anastomosis,1.4978534420887024e-07,30
22,0.003820807914974772,0.003820807914974772,1,jhu/lcsr/smarts/SurgSync-stitch-coldcut/P1,Surgical/JHU/LSCR/SMARTS/offline_recorder_extracted/offline_data_part1,TASK_INDEX,perform a simple interrupted stitch on ex-vivo tissue (occasionally on silicon suturing training phantom) ; without cutting the suture thread tail at the end,perform a simple interrupted stitch on ex-vivo tissue (occasionally on silicon suture training phantom); without cut the suture thread tail at the end,perform a simple interrupted stitch on exvivo tissue occasionally on silicon suturing training phantom  without cutting the suture thread tail at the end,perform a simple interrupted stitch on ex-vivo tissue (occasionally on silicon suturing training phantom) ; without cutting the suture thread tail at the end,0.0020882169816807154,23
23,2.995706884177405e-07,2.995706884177405e-07,1,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hemicolectomy. Resect the lymphatic tissue around the mesenteric artery and vein. Dissection and staple of the mesocolon while separating it from the retroperitoneum,hemicolectomy. resect the lymphatic tissue around the mesenteric artery and vein. dissect and staple of the mesocolon while separate it from the retroperitoneum,left tool mono_hook right tool bi_maryland_forceps aux tool bi_maryland_forceps the surgery process is a hemicolectomyresect the lymphatic tissue around the mesenteric artery and veindissection and staple of the mesocolon while separating it from the retroperitoneum,left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.Resect the lymphatic tissue around the mesenteric artery and veinDissection and staple of the mesocolon while separating it from the retroperitoneum,1.4978534420887024e-07,32
